,group,Pig,Tissue,Day,Treatment,Genus,value,All,value2,percent_tot
241,SRD129_P164_N_D36,164,N,36,Control,Actinobacillus,0.000565544,36_Control,0.005655435,0.056554352
242,SRD129_P164_N_D42,164,N,42,Control,Actinobacillus,0.00062069,42_Control,0.006206897,0.062068966
243,SRD129_P164_N_D7,164,N,7,Control,Actinobacillus,0.1878166,7_Control,1.878165996,18.78165996
244,SRD129_P165_N_D0,165,N,0,Control,Actinobacillus,0.076668033,0_Control,0.766680326,7.666803263
245,SRD129_P165_N_D1,165,N,1,Control,Actinobacillus,0.273777829,1_Control,2.737778292,27.37778292
246,SRD129_P165_N_D10,165,N,10,Control,Actinobacillus,0.158393121,10_Control,1.583931209,15.83931209
247,SRD129_P165_N_D14,165,N,14,Control,Actinobacillus,0.031333872,14_Control,0.313338723,3.133387227
248,SRD129_P165_N_D21,165,N,21,Control,Actinobacillus,0.045966366,21_Control,0.459663661,4.596636607
249,SRD129_P165_N_D3,165,N,3,Control,Actinobacillus,0.073347927,3_Control,0.733479268,7.334792678
250,SRD129_P165_N_D36,165,N,36,Control,Actinobacillus,0.001143002,36_Control,0.011430023,0.114300229
251,SRD129_P165_N_D42,165,N,42,Control,Actinobacillus,0.004480562,42_Control,0.044805623,0.448056227
